2016-05-07 21:29:16,105 - INFO - Initializing main daemon.
2016-05-07 21:29:19,582 - ERROR - Unknown error occurred.
2016-05-07 21:29:21,914 - ERROR - Unknown error occurred.
2016-05-07 21:29:24,252 - ERROR - Unknown error occurred.
2016-05-07 21:29:26,569 - ERROR - Unknown error occurred.
2016-05-07 21:29:28,852 - ERROR - Unknown error occurred.
2016-05-07 21:29:31,154 - ERROR - Unknown error occurred.
2016-05-07 21:30:33,046 - INFO - Initializing main daemon.
2016-05-07 21:30:58,084 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:30:59,288 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:31:31,681 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:31:32,937 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:32:07,088 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:32:08,394 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:32:42,471 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:32:43,707 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:33:16,039 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:33:17,265 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:33:50,983 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:33:52,201 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:34:25,793 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:34:27,015 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:35:01,039 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:35:02,237 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:35:34,562 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:35:35,780 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:36:09,989 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:36:11,220 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:36:46,381 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:36:47,634 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:37:19,885 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:37:21,122 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:37:53,598 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:37:54,812 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:38:28,546 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:38:29,759 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:39:03,904 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:39:05,099 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:39:38,848 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:39:40,072 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:40:13,693 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:40:14,967 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:40:47,854 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:40:49,078 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:41:25,042 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:41:26,246 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:42:00,085 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:42:01,301 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:42:36,203 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:42:37,878 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:43:10,996 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:43:12,220 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:43:46,428 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:43:47,638 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:44:21,618 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:44:22,835 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:44:56,466 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:44:57,680 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:45:31,490 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:45:32,733 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:46:04,882 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:46:06,105 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:46:38,328 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:46:39,576 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:47:12,196 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:47:13,394 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:47:45,882 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:47:47,104 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:48:19,378 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:48:20,618 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:48:54,259 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
